text,language_code
complaint copy: நுகர்வோர் நீதிமன்றத்தில் புகார் அளிக்க வேண்டும்,ta
i want to report: நுகர்வோர் நீதிமன்றத்தில் புகார் அளிக்க வேண்டும்,ta
legal issue: நுகர்வோர் நீதிமன்றத்தில் புகார் அளிக்க வேண்டும்,ta
grievance: நுகர்வோர் நீதிமன்றத்தில் புகார் அளிக்க வேண்டும்,ta
நுகர்வோர் நீதிமன்றத்தில் புகார் அளிக்க வேண்டும் please support me.,ta
நுகர்வோர் நீதிமன்றத்தில் புகார் அளிக்க வேண்டும் immediately action required.,ta
நுகர்வோர் நீதிமன்றத்தில் புகார் அளிக்க வேண்டும் kindly check this issue.,ta
நுகர்வோர் நீதிமன்றத்தில் புகார் அளிக்க வேண்டும் need guidance.,ta
"hello, நுகர்வோர் நீதிமன்றத்தில் புகார் அளிக்க வேண்டும் thank you.",ta
ஆன்லைன் மோசடி மூலம் பணம் திருடப்பட்டது,ta
please help: ஆன்லைன் மோசடி மூலம் பணம் திருடப்பட்டது,ta
urgent request: ஆன்லைன் மோசடி மூலம் பணம் திருடப்பட்டது,ta
"dear sir, ஆன்லைன் மோசடி மூலம் பணம் திருடப்பட்டது",ta
complaint copy: ஆன்லைன் மோசடி மூலம் பணம் திருடப்பட்டது,ta
i want to report: ஆன்லைன் மோசடி மூலம் பணம் திருடப்பட்டது,ta
legal issue: ஆன்லைன் மோசடி மூலம் பணம் திருடப்பட்டது,ta
grievance: ஆன்லைன் மோசடி மூலம் பணம் திருடப்பட்டது,ta
ஆன்லைன் மோசடி மூலம் பணம் திருடப்பட்டது please support me.,ta
ஆன்லைன் மோசடி மூலம் பணம் திருடப்பட்டது immediately action required.,ta
ஆன்லைன் மோசடி மூலம் பணம் திருடப்பட்டது kindly check this issue.,ta
ஆன்லைன் மோசடி மூலம் பணம் திருடப்பட்டது need guidance.,ta
"hello, ஆன்லைன் மோசடி மூலம் பணம் திருடப்பட்டது thank you.",ta
என் கணவர் என்னை தினமும் அடிக்கிறார் வரதட்சணை கொடுமை,ta
please help: என் கணவர் என்னை தினமும் அடிக்கிறார் வரதட்சணை கொடுமை,ta
urgent request: என் கணவர் என்னை தினமும் அடிக்கிறார் வரதட்சணை கொடுமை,ta
"dear sir, என் கணவர் என்னை தினமும் அடிக்கிறார் வரதட்சணை கொடுமை",ta
complaint copy: என் கணவர் என்னை தினமும் அடிக்கிறார் வரதட்சணை கொடுமை,ta
i want to report: என் கணவர் என்னை தினமும் அடிக்கிறார் வரதட்சணை கொடுமை,ta
legal issue: என் கணவர் என்னை தினமும் அடிக்கிறார் வரதட்சணை கொடுமை,ta
grievance: என் கணவர் என்னை தினமும் அடிக்கிறார் வரதட்சணை கொடுமை,ta
என் கணவர் என்னை தினமும் அடிக்கிறார் வரதட்சணை கொடுமை please support me.,ta
என் கணவர் என்னை தினமும் அடிக்கிறார் வரதட்சணை கொடுமை immediately action required.,ta
என் கணவர் என்னை தினமும் அடிக்கிறார் வரதட்சணை கொடுமை kindly check this issue.,ta
என் கணவர் என்னை தினமும் அடிக்கிறார் வரதட்சணை கொடுமை need guidance.,ta
"hello, என் கணவர் என்னை தினமும் அடிக்கிறார் வரதட்சணை கொடுமை thank you.",ta
காவல் நிலையத்தில் மோட்டார் சைக்கிள் திருட்டு பற்றி எஃப்ஐஆர் பதிவு செய்யவில்லை,ta
please help: காவல் நிலையத்தில் மோட்டார் சைக்கிள் திருட்டு பற்றி எஃப்ஐஆர் பதிவு செய்யவில்லை,ta
urgent request: காவல் நிலையத்தில் மோட்டார் சைக்கிள் திருட்டு பற்றி எஃப்ஐஆர் பதிவு செய்யவில்லை,ta
"dear sir, காவல் நிலையத்தில் மோட்டார் சைக்கிள் திருட்டு பற்றி எஃப்ஐஆர் பதிவு செய்யவில்லை",ta
complaint copy: காவல் நிலையத்தில் மோட்டார் சைக்கிள் திருட்டு பற்றி எஃப்ஐஆர் பதிவு செய்யவில்லை,ta
i want to report: காவல் நிலையத்தில் மோட்டார் சைக்கிள் திருட்டு பற்றி எஃப்ஐஆர் பதிவு செய்யவில்லை,ta
legal issue: காவல் நிலையத்தில் மோட்டார் சைக்கிள் திருட்டு பற்றி எஃப்ஐஆர் பதிவு செய்யவில்லை,ta
grievance: காவல் நிலையத்தில் மோட்டார் சைக்கிள் திருட்டு பற்றி எஃப்ஐஆர் பதிவு செய்யவில்லை,ta
காவல் நிலையத்தில் மோட்டார் சைக்கிள் திருட்டு பற்றி எஃப்ஐஆர் பதிவு செய்யவில்லை please support me.,ta
காவல் நிலையத்தில் மோட்டார் சைக்கிள் திருட்டு பற்றி எஃப்ஐஆர் பதிவு செய்யவில்லை immediately action required.,ta
காவல் நிலையத்தில் மோட்டார் சைக்கிள் திருட்டு பற்றி எஃப்ஐஆர் பதிவு செய்யவில்லை kindly check this issue.,ta
காவல் நிலையத்தில் மோட்டார் சைக்கிள் திருட்டு பற்றி எஃப்ஐஆர் பதிவு செய்யவில்லை need guidance.,ta
"hello, காவல் நிலையத்தில் மோட்டார் சைக்கிள் திருட்டு பற்றி எஃப்ஐஆர் பதிவு செய்யவில்லை thank you.",ta
வேலை நீக்கம் செய்யப்பட்டதற்கான இழப்பீடு வேண்டும்,ta
please help: வேலை நீக்கம் செய்யப்பட்டதற்கான இழப்பீடு வேண்டும்,ta
urgent request: வேலை நீக்கம் செய்யப்பட்டதற்கான இழப்பீடு வேண்டும்,ta
"dear sir, வேலை நீக்கம் செய்யப்பட்டதற்கான இழப்பீடு வேண்டும்",ta
complaint copy: வேலை நீக்கம் செய்யப்பட்டதற்கான இழப்பீடு வேண்டும்,ta
i want to report: வேலை நீக்கம் செய்யப்பட்டதற்கான இழப்பீடு வேண்டும்,ta
legal issue: வேலை நீக்கம் செய்யப்பட்டதற்கான இழப்பீடு வேண்டும்,ta
grievance: வேலை நீக்கம் செய்யப்பட்டதற்கான இழப்பீடு வேண்டும்,ta
வேலை நீக்கம் செய்யப்பட்டதற்கான இழப்பீடு வேண்டும் please support me.,ta
வேலை நீக்கம் செய்யப்பட்டதற்கான இழப்பீடு வேண்டும் immediately action required.,ta
வேலை நீக்கம் செய்யப்பட்டதற்கான இழப்பீடு வேண்டும் kindly check this issue.,ta
வேலை நீக்கம் செய்யப்பட்டதற்கான இழப்பீடு வேண்டும் need guidance.,ta
"hello, வேலை நீக்கம் செய்யப்பட்டதற்கான இழப்பீடு வேண்டும் thank you.",ta
பக்கத்து வீட்டுக்காரருடன் நில எல்லை தகராறு உள்ளது,ta
please help: பக்கத்து வீட்டுக்காரருடன் நில எல்லை தகராறு உள்ளது,ta
urgent request: பக்கத்து வீட்டுக்காரருடன் நில எல்லை தகராறு உள்ளது,ta
"dear sir, பக்கத்து வீட்டுக்காரருடன் நில எல்லை தகராறு உள்ளது",ta
complaint copy: பக்கத்து வீட்டுக்காரருடன் நில எல்லை தகராறு உள்ளது,ta
i want to report: பக்கத்து வீட்டுக்காரருடன் நில எல்லை தகராறு உள்ளது,ta
legal issue: பக்கத்து வீட்டுக்காரருடன் நில எல்லை தகராறு உள்ளது,ta
grievance: பக்கத்து வீட்டுக்காரருடன் நில எல்லை தகராறு உள்ளது,ta
பக்கத்து வீட்டுக்காரருடன் நில எல்லை தகராறு உள்ளது please support me.,ta
பக்கத்து வீட்டுக்காரருடன் நில எல்லை தகராறு உள்ளது immediately action required.,ta
பக்கத்து வீட்டுக்காரருடன் நில எல்லை தகராறு உள்ளது kindly check this issue.,ta
பக்கத்து வீட்டுக்காரருடன் நில எல்லை தகராறு உள்ளது need guidance.,ta
"hello, பக்கத்து வீட்டுக்காரருடன் நில எல்லை தகராறு உள்ளது thank you.",ta
பெண்கள் பாதுகாப்பு மற்றும் குடும்ப வன்முறை புகார்,ta
please help: பெண்கள் பாதுகாப்பு மற்றும் குடும்ப வன்முறை புகார்,ta
urgent request: பெண்கள் பாதுகாப்பு மற்றும் குடும்ப வன்முறை புகார்,ta
"dear sir, பெண்கள் பாதுகாப்பு மற்றும் குடும்ப வன்முறை புகார்",ta
complaint copy: பெண்கள் பாதுகாப்பு மற்றும் குடும்ப வன்முறை புகார்,ta
i want to report: பெண்கள் பாதுகாப்பு மற்றும் குடும்ப வன்முறை புகார்,ta
legal issue: பெண்கள் பாதுகாப்பு மற்றும் குடும்ப வன்முறை புகார்,ta
grievance: பெண்கள் பாதுகாப்பு மற்றும் குடும்ப வன்முறை புகார்,ta
பெண்கள் பாதுகாப்பு மற்றும் குடும்ப வன்முறை புகார் please support me.,ta
பெண்கள் பாதுகாப்பு மற்றும் குடும்ப வன்முறை புகார் immediately action required.,ta
பெண்கள் பாதுகாப்பு மற்றும் குடும்ப வன்முறை புகார் kindly check this issue.,ta
பெண்கள் பாதுகாப்பு மற்றும் குடும்ப வன்முறை புகார் need guidance.,ta
"hello, பெண்கள் பாதுகாப்பு மற்றும் குடும்ப வன்முறை புகார் thank you.",ta
வங்கி கணக்கு விவரங்கள் திருடப்பட்டு பணம் எடுக்கப்பட்டது,ta
please help: வங்கி கணக்கு விவரங்கள் திருடப்பட்டு பணம் எடுக்கப்பட்டது,ta
urgent request: வங்கி கணக்கு விவரங்கள் திருடப்பட்டு பணம் எடுக்கப்பட்டது,ta
"dear sir, வங்கி கணக்கு விவரங்கள் திருடப்பட்டு பணம் எடுக்கப்பட்டது",ta
complaint copy: வங்கி கணக்கு விவரங்கள் திருடப்பட்டு பணம் எடுக்கப்பட்டது,ta
i want to report: வங்கி கணக்கு விவரங்கள் திருடப்பட்டு பணம் எடுக்கப்பட்டது,ta
பழுதடைந்த பொருளுக்கு கடைக்காரர் பணம் திருப்பி தர மறுக்கிறார்,ta
ஜவுளி மில் முதலாளி சம்பளம் தர மறுக்கிறார்,ta
வீட்டு உரிமையாளர் என்னை முன்அறிவிப்பு இன்றி காலி செய்ய சொல்கிறார்,ta
போலி இணையதளத்தில் பணத்தை இழந்துவிட்டேன்,ta
அத்துமீறி எனது நிலத்தில் வேலி அமைத்துள்ளனர்,ta
உடல் ரீதியாக தாக்கி கொலை மிரட்டல் விடுக்கின்றனர்,ta
இலவச வழக்கறிஞர் உதவி பெற விண்ணப்பிப்பது எப்படி,ta
பொருள் வாங்கினோம் ஆனால் ரீஃபண்ட் தரவில்லை,ta
வேலை செய்யும் இடத்தில் பாலியல் தொல்லை தருகின்றனர்,ta
வங்கி கணக்கில் இருந்து திருட்டு தனமாக பணம் எடுக்கப்பட்டுள்ளது,ta
காரணமின்றி வேலையிலிருந்து நீக்கிவிட்டனர்,ta
मेरी कंपनी ने दो महीने से वेतन नहीं दिया है,hi
please help: मेरी कंपनी ने दो महीने से वेतन नहीं दिया है,hi
urgent request: मेरी कंपनी ने दो महीने से वेतन नहीं दिया है,hi
"dear sir, मेरी कंपनी ने दो महीने से वेतन नहीं दिया है",hi
complaint copy: मेरी कंपनी ने दो महीने से वेतन नहीं दिया है,hi
i want to report: मेरी कंपनी ने दो महीने से वेतन नहीं दिया है,hi
legal issue: मेरी कंपनी ने दो महीने से वेतन नहीं दिया है,hi
grievance: मेरी कंपनी ने दो महीने से वेतन नहीं दिया है,hi
मेरी कंपनी ने दो महीने से वेतन नहीं दिया है please support me.,hi
मेरी कंपनी ने दो महीने से वेतन नहीं दिया है immediately action required.,hi
मेरी कंपनी ने दो महीने से वेतन नहीं दिया है kindly check this issue.,hi
मेरी कंपनी ने दो महीने से वेतन नहीं दिया है need guidance.,hi
"hello, मेरी कंपनी ने दो महीने से वेतन नहीं दिया है thank you.",hi
मैं विक्रेता के खिलाफ उपभोक्ता शिकायत दर्ज करना चाहता हूं,hi
please help: मैं विक्रेता के खिलाफ उपभोक्ता शिकायत दर्ज करना चाहता हूं,hi
urgent request: मैं विक्रेता के खिलाफ उपभोक्ता शिकायत दर्ज करना चाहता हूं,hi
"dear sir, मैं विक्रेता के खिलाफ उपभोक्ता शिकायत दर्ज करना चाहता हूं",hi
complaint copy: मैं विक्रेता के खिलाफ उपभोक्ता शिकायत दर्ज करना चाहता हूं,hi
i want to report: मैं विक्रेता के खिलाफ उपभोक्ता शिकायत दर्ज करना चाहता हूं,hi
legal issue: मैं विक्रेता के खिलाफ उपभोक्ता शिकायत दर्ज करना चाहता हूं,hi
grievance: मैं विक्रेता के खिलाफ उपभोक्ता शिकायत दर्ज करना चाहता हूं,hi
मैं विक्रेता के खिलाफ उपभोक्ता शिकायत दर्ज करना चाहता हूं please support me.,hi
मैं विक्रेता के खिलाफ उपभोक्ता शिकायत दर्ज करना चाहता हूं immediately action required.,hi
मैं विक्रेता के खिलाफ उपभोक्ता शिकायत दर्ज करना चाहता हूं kindly check this issue.,hi
मैं विक्रेता के खिलाफ उपभोक्ता शिकायत दर्ज करना चाहता हूं need guidance.,hi
"hello, मैं विक्रेता के खिलाफ उपभोक्ता शिकायत दर्ज करना चाहता हूं thank you.",hi
यूपीआई स्कैनर के जरिए ऑनलाइन धोखाधड़ी से पैसे चोरी हो गए,hi
please help: यूपीआई स्कैनर के जरिए ऑनलाइन धोखाधड़ी से पैसे चोरी हो गए,hi
urgent request: यूपीआई स्कैनर के जरिए ऑनलाइन धोखाधड़ी से पैसे चोरी हो गए,hi
"dear sir, यूपीआई स्कैनर के जरिए ऑनलाइन धोखाधड़ी से पैसे चोरी हो गए",hi
complaint copy: यूपीआई स्कैनर के जरिए ऑनलाइन धोखाधड़ी से पैसे चोरी हो गए,hi
i want to report: यूपीआई स्कैनर के जरिए ऑनलाइन धोखाधड़ी से पैसे चोरी हो गए,hi
legal issue: यूपीआई स्कैनर के जरिए ऑनलाइन धोखाधड़ी से पैसे चोरी हो गए,hi
grievance: यूपीआई स्कैनर के जरिए ऑनलाइन धोखाधड़ी से पैसे चोरी हो गए,hi
यूपीआई स्कैनर के जरिए ऑनलाइन धोखाधड़ी से पैसे चोरी हो गए please support me.,hi
यूपीआई स्कैनर के जरिए ऑनलाइन धोखाधड़ी से पैसे चोरी हो गए immediately action required.,hi
यूपीआई स्कैनर के जरिए ऑनलाइन धोखाधड़ी से पैसे चोरी हो गए kindly check this issue.,hi
यूपीआई स्कैनर के जरिए ऑनलाइन धोखाधड़ी से पैसे चोरी हो गए need guidance.,hi
"hello, यूपीआई स्कैनर के जरिए ऑनलाइन धोखाधड़ी से पैसे चोरी हो गए thank you.",hi
पति रोज मेरे साथ मारपीट करता है और दहेज मांगता है,hi
please help: पति रोज मेरे साथ मारपीट करता है और दहेज मांगता है,hi
urgent request: पति रोज मेरे साथ मारपीट करता है और दहेज मांगता है,hi
"dear sir, पति रोज मेरे साथ मारपीट करता है और दहेज मांगता है",hi
complaint copy: पति रोज मेरे साथ मारपीट करता है और दहेज मांगता है,hi
i want to report: पति रोज मेरे साथ मारपीट करता है और दहेज मांगता है,hi
legal issue: पति रोज मेरे साथ मारपीट करता है और दहेज मांगता है,hi
grievance: पति रोज मेरे साथ मारपीट करता है और दहेज मांगता है,hi
पति रोज मेरे साथ मारपीट करता है और दहेज मांगता है please support me.,hi
पति रोज मेरे साथ मारपीट करता है और दहेज मांगता है immediately action required.,hi
पति रोज मेरे साथ मारपीट करता है और दहेज मांगता है kindly check this issue.,hi
पति रोज मेरे साथ मारपीट करता है और दहेज मांगता है need guidance.,hi
"hello, पति रोज मेरे साथ मारपीट करता है और दहेज मांगता है thank you.",hi
पुलिस ने चोरी हुई बाइक की प्राथमिकी दर्ज करने से इनकार कर दिया,hi
please help: पुलिस ने चोरी हुई बाइक की प्राथमिकी दर्ज करने से इनकार कर दिया,hi
urgent request: पुलिस ने चोरी हुई बाइक की प्राथमिकी दर्ज करने से इनकार कर दिया,hi
"dear sir, पुलिस ने चोरी हुई बाइक की प्राथमिकी दर्ज करने से इनकार कर दिया",hi
complaint copy: पुलिस ने चोरी हुई बाइक की प्राथमिकी दर्ज करने से इनकार कर दिया,hi
i want to report: पुलिस ने चोरी हुई बाइक की प्राथमिकी दर्ज करने से इनकार कर दिया,hi
legal issue: पुलिस ने चोरी हुई बाइक की प्राथमिकी दर्ज करने से इनकार कर दिया,hi
grievance: पुलिस ने चोरी हुई बाइक की प्राथमिकी दर्ज करने से इनकार कर दिया,hi
पुलिस ने चोरी हुई बाइक की प्राथमिकी दर्ज करने से इनकार कर दिया please support me.,hi
पुलिस ने चोरी हुई बाइक की प्राथमिकी दर्ज करने से इनकार कर दिया immediately action required.,hi
पुलिस ने चोरी हुई बाइक की प्राथमिकी दर्ज करने से इनकार कर दिया kindly check this issue.,hi
पुलिस ने चोरी हुई बाइक की प्राथमिकी दर्ज करने से इनकार कर दिया need guidance.,hi
"hello, पुलिस ने चोरी हुई बाइक की प्राथमिकी दर्ज करने से इनकार कर दिया thank you.",hi
बिना किसी सूचना के नौकरी से निकाल दिया गया है,hi
please help: बिना किसी सूचना के नौकरी से निकाल दिया गया है,hi
urgent request: बिना किसी सूचना के नौकरी से निकाल दिया गया है,hi
"dear sir, बिना किसी सूचना के नौकरी से निकाल दिया गया है",hi
complaint copy: बिना किसी सूचना के नौकरी से निकाल दिया गया है,hi
i want to report: बिना किसी सूचना के नौकरी से निकाल दिया गया है,hi
legal issue: बिना किसी सूचना के नौकरी से निकाल दिया गया है,hi
grievance: बिना किसी सूचना के नौकरी से निकाल दिया गया है,hi
बिना किसी सूचना के नौकरी से निकाल दिया गया है please support me.,hi
बिना किसी सूचना के नौकरी से निकाल दिया गया है immediately action required.,hi
बिना किसी सूचना के नौकरी से निकाल दिया गया है kindly check this issue.,hi
बिना किसी सूचना के नौकरी से निकाल दिया गया है need guidance.,hi
"hello, बिना किसी सूचना के नौकरी से निकाल दिया गया है thank you.",hi
पड़ोसी के साथ संपत्ति विवाद के संबंध में कानूनी सलाह चाहिए,hi
please help: पड़ोसी के साथ संपत्ति विवाद के संबंध में कानूनी सलाह चाहिए,hi
urgent request: पड़ोसी के साथ संपत्ति विवाद के संबंध में कानूनी सलाह चाहिए,hi
"dear sir, पड़ोसी के साथ संपत्ति विवाद के संबंध में कानूनी सलाह चाहिए",hi
complaint copy: पड़ोसी के साथ संपत्ति विवाद के संबंध में कानूनी सलाह चाहिए,hi
i want to report: पड़ोसी के साथ संपत्ति विवाद के संबंध में कानूनी सलाह चाहिए,hi
legal issue: पड़ोसी के साथ संपत्ति विवाद के संबंध में कानूनी सलाह चाहिए,hi
grievance: पड़ोसी के साथ संपत्ति विवाद के संबंध में कानूनी सलाह चाहिए,hi
पड़ोसी के साथ संपत्ति विवाद के संबंध में कानूनी सलाह चाहिए please support me.,hi
पड़ोसी के साथ संपत्ति विवाद के संबंध में कानूनी सलाह चाहिए immediately action required.,hi
पड़ोसी के साथ संपत्ति विवाद के संबंध में कानूनी सलाह चाहिए kindly check this issue.,hi
पड़ोसी के साथ संपत्ति विवाद के संबंध में कानूनी सलाह चाहिए need guidance.,hi
"hello, पड़ोसी के साथ संपत्ति विवाद के संबंध में कानूनी सलाह चाहिए thank you.",hi
महिला सुरक्षा और घरेलू हिंसा की शिकायत,hi
please help: महिला सुरक्षा और घरेलू हिंसा की शिकायत,hi
urgent request: महिला सुरक्षा और घरेलू हिंसा की शिकायत,hi
"dear sir, महिला सुरक्षा और घरेलू हिंसा की शिकायत",hi
complaint copy: महिला सुरक्षा और घरेलू हिंसा की शिकायत,hi
i want to report: महिला सुरक्षा और घरेलू हिंसा की शिकायत,hi
legal issue: महिला सुरक्षा और घरेलू हिंसा की शिकायत,hi
grievance: महिला सुरक्षा और घरेलू हिंसा की शिकायत,hi
महिला सुरक्षा और घरेलू हिंसा की शिकायत please support me.,hi
महिला सुरक्षा और घरेलू हिंसा की शिकायत immediately action required.,hi
महिला सुरक्षा और घरेलू हिंसा की शिकायत kindly check this issue.,hi
महिला सुरक्षा और घरेलू हिंसा की शिकायत need guidance.,hi
"hello, महिला सुरक्षा और घरेलू हिंसा की शिकायत thank you.",hi
ओटीपी बैंकिंग घोटाले में साइबर सेल की मदद चाहिए,hi
please help: ओटीपी बैंकिंग घोटाले में साइबर सेल की मदद चाहिए,hi
urgent request: ओटीपी बैंकिंग घोटाले में साइबर सेल की मदद चाहिए,hi
"dear sir, ओटीपी बैंकिंग घोटाले में साइबर सेल की मदद चाहिए",hi
complaint copy: ओटीपी बैंकिंग घोटाले में साइबर सेल की मदद चाहिए,hi
i want to report: ओटीपी बैंकिंग घोटाले में साइबर सेल की मदद चाहिए,hi
दुकानदार ने खराब उत्पाद के लिए पैसे वापस करने से मना कर दिया,hi
कंपनी मालिक सैलरी देने से मना कर रहा है,hi
मकान मालिक बिना नोटिस के घर खाली करवा रहा है,hi
फिशिंग लिंक पर क्लिक करने से बैंक खाता खाली हो गया,hi
पड़ोसी ने हमारी जमीन पर अवैध कब्जा कर लिया है,hi
मारपीट और जान से मारने की धमकी मिल रही है,hi
