question,language,category,answer,safety_disclaimer_required
what are my options if my salary is delayed variant 12,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 12,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 12,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 13,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 13,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 13,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 13,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 13,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 14,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 14,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 14,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 14,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 14,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 15,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 15,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 15,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 15,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 15,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 16,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 16,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 16,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 16,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 16,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 17,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 17,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 17,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 17,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 17,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 18,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 18,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 18,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 18,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 18,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 19,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 19,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 19,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 19,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 19,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 20,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 20,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 20,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 20,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 20,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 21,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 21,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 21,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 21,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 21,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 22,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 22,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 22,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 22,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 22,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 23,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 23,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 23,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 23,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 23,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
what is the legal aid authority variant 24,en,GENERAL_LEGAL_AID,Legal Aid Authority provides free legal services to the weaker sections of the society to ensure that opportunities for securing justice are not denied.,yes
how do i file a consumer complaint variant 24,en,CONSUMER_COMPLAINT,You can file a complaint with the Consumer Forum online or in person using your invoice.,yes
what are my options if my salary is delayed variant 24,en,LABOUR_DISPUTE,You can register a grievance at the Labour Office and show your employment contract.,yes
how to report a banking scam variant 24,en,CYBER_CRIME,Please report online cyber crime immediately at cybercrime.gov.in or dial 1930.,yes
what is the helpline for women safety variant 24,en,WOMEN_SAFETY,Women in distress can dial the national women helpline 181 for safety assistance.,yes
